날짜,price,제품명
2017년 4월,"3,081",[삼양식품]삼양라면
2017년 3월,"3,093",[삼양식품]삼양라면
2017년 2월,"3,115",[삼양식품]삼양라면
2017년 1월,"3,127",[삼양식품]삼양라면
2017년 12월,"2,766",[오뚜기]진라면 순한맛
2017년 11월,"2,763",[오뚜기]진라면 순한맛
2017년 10월,"2,766",[오뚜기]진라면 순한맛
2017년 9월,"2,768",[오뚜기]진라면 순한맛
2017년 8월,"2,752",[오뚜기]진라면 순한맛
2017년 7월,"2,772",[오뚜기]진라면 순한맛
2017년 6월,"2,778",[오뚜기]진라면 순한맛
2017년 5월,"2,773",[오뚜기]진라면 순한맛
2017년 4월,"2,771",[오뚜기]진라면 순한맛
2017년 3월,"2,775",[오뚜기]진라면 순한맛
2017년 2월,"2,759",[오뚜기]진라면 순한맛
2017년 1월,"2,733",[오뚜기]진라면 순한맛
2016년 12월,"3,203",[농심]신라면
2016년 11월,"3,201",[농심]신라면
2016년 10월,"3,182",[농심]신라면
2016년 9월,"3,074",[농심]신라면
2016년 8월,"3,003",[농심]신라면
2016년 7월,"3,059",[농심]신라면
2016년 6월,"3,079",[농심]신라면
2016년 5월,"3,038",[농심]신라면
2016년 4월,"3,186",[농심]신라면
2016년 3월,"3,180",[농심]신라면
2016년 2월,"3,178",[농심]신라면
2016년 1월,"3,178",[농심]신라면
2016년 12월,"3,063",[삼양식품]삼양라면
2016년 11월,"3,091",[삼양식품]삼양라면
2016년 10월,"3,087",[삼양식품]삼양라면
2016년 9월,"2,952",[삼양식품]삼양라면
2016년 8월,"2,879",[삼양식품]삼양라면
2016년 7월,"2,952",[삼양식품]삼양라면
2016년 6월,"2,945",[삼양식품]삼양라면
2016년 5월,"2,956",[삼양식품]삼양라면
2016년 4월,"3,024",[삼양식품]삼양라면
2016년 3월,"3,063",[삼양식품]삼양라면
2016년 2월,"3,102",[삼양식품]삼양라면
2016년 1월,"3,075",[삼양식품]삼양라면
2016년 12월,"2,735",[오뚜기]진라면 순한맛
2016년 11월,"2,754",[오뚜기]진라면 순한맛
2016년 10월,"2,762",[오뚜기]진라면 순한맛
2016년 9월,"2,666",[오뚜기]진라면 순한맛
2016년 8월,"2,592",[오뚜기]진라면 순한맛
2016년 7월,"2,662",[오뚜기]진라면 순한맛
2016년 6월,"2,685",[오뚜기]진라면 순한맛
2016년 5월,"2,653",[오뚜기]진라면 순한맛
2016년 4월,"2,758",[오뚜기]진라면 순한맛
2016년 3월,"2,776",[오뚜기]진라면 순한맛
2016년 2월,"2,776",[오뚜기]진라면 순한맛
2016년 1월,"2,774",[오뚜기]진라면 순한맛
2015년 12월,"3,178",[농심]신라면
2015년 11월,"3,176",[농심]신라면
2015년 10월,"3,171",[농심]신라면
2015년 9월,"3,173",[농심]신라면
2015년 8월,"3,170",[농심]신라면
2015년 7월,"3,180",[농심]신라면
2015년 6월,"3,189",[농심]신라면
2015년 5월,"3,178",[농심]신라면
2015년 4월,"3,167",[농심]신라면
2015년 3월,"3,146",[농심]신라면
2015년 2월,"3,171",[농심]신라면
2015년 1월,"3,184",[농심]신라면
2015년 12월,"3,070",[삼양식품]삼양라면
2015년 11월,"3,080",[삼양식품]삼양라면
2015년 10월,"3,099",[삼양식품]삼양라면
2015년 9월,"3,083",[삼양식품]삼양라면
2015년 8월,"3,090",[삼양식품]삼양라면
2015년 7월,"3,093",[삼양식품]삼양라면
2015년 6월,"3,094",[삼양식품]삼양라면
2015년 5월,"3,091",[삼양식품]삼양라면
2015년 4월,"3,081",[삼양식품]삼양라면
2015년 3월,"3,079",[삼양식품]삼양라면
2015년 2월,"3,078",[삼양식품]삼양라면
2015년 1월,"3,088",[삼양식품]삼양라면
2015년 12월,"2,758",[오뚜기]진라면 순한맛
2015년 11월,"2,735",[오뚜기]진라면 순한맛
2015년 10월,"2,771",[오뚜기]진라면 순한맛
2015년 9월,"2,779",[오뚜기]진라면 순한맛
2015년 8월,"2,788",[오뚜기]진라면 순한맛
2015년 7월,"2,783",[오뚜기]진라면 순한맛
2015년 6월,"2,791",[오뚜기]진라면 순한맛
2015년 5월,"2,732",[오뚜기]진라면 순한맛
2015년 4월,"2,714",[오뚜기]진라면 순한맛
2015년 3월,"2,736",[오뚜기]진라면 순한맛
2015년 2월,"2,720",[오뚜기]진라면 순한맛
2015년 1월,"2,766",[오뚜기]진라면 순한맛
2014년 12월,"3,181",[농심]신라면
2014년 11월,"3,176",[농심]신라면
2014년 10월,"3,189",[농심]신라면
2014년 9월,"3,184",[농심]신라면
2014년 8월,"3,173",[농심]신라면
2014년 7월,"3,178",[농심]신라면
2014년 6월,"3,190",[농심]신라면
2014년 5월,"3,192",[농심]신라면
2014년 4월,"3,184",[농심]신라면
2014년 3월,"3,178",[농심]신라면
2014년 2월,"3,207",[농심]신라면
2014년 1월,"3,199",[농심]신라면
2014년 12월,"3,082",[삼양식품]삼양라면
2014년 11월,"3,081",[삼양식품]삼양라면
2014년 10월,"3,084",[삼양식품]삼양라면
2014년 9월,"3,083",[삼양식품]삼양라면
2014년 8월,"3,077",[삼양식품]삼양라면
2014년 7월,"3,068",[삼양식품]삼양라면
2014년 6월,"3,063",[삼양식품]삼양라면
2014년 5월,"3,053",[삼양식품]삼양라면
2014년 4월,"3,077",[삼양식품]삼양라면
2014년 3월,"3,099",[삼양식품]삼양라면
2014년 2월,"3,091",[삼양식품]삼양라면
2014년 1월,"3,078",[삼양식품]삼양라면
2014년 12월,"2,790",[오뚜기]진라면 순한맛
2014년 11월,"2,765",[오뚜기]진라면 순한맛
2014년 10월,"2,784",[오뚜기]진라면 순한맛
2014년 9월,"2,798",[오뚜기]진라면 순한맛
2014년 8월,"2,770",[오뚜기]진라면 순한맛
2014년 7월,"2,799",[오뚜기]진라면 순한맛
2014년 6월,"2,812",[오뚜기]진라면 순한맛
2014년 5월,"2,809",[오뚜기]진라면 순한맛
2014년 4월,"2,790",[오뚜기]진라면 순한맛
2014년 3월,"2,799",[오뚜기]진라면 순한맛
2014년 2월,"2,796",[오뚜기]진라면 순한맛
2014년 1월,"2,792",[오뚜기]진라면 순한맛
2013년 12월,"3,177",[농심]신라면
2013년 11월,"3,182",[농심]신라면
2013년 10월,"3,191",[농심]신라면
2013년 9월,"3,183",[농심]신라면
2013년 8월,"3,188",[농심]신라면
2013년 7월,"3,189",[농심]신라면
2013년 6월,"3,198",[농심]신라면
2013년 5월,"3,202",[농심]신라면
2013년 4월,"3,200",[농심]신라면
2013년 3월,"3,202",[농심]신라면
2013년 2월,"3,205",[농심]신라면
2013년 1월,"3,194",[농심]신라면
