"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 5월","878.25","853.62","892.62","791.38","-","2.78%"
"2019년 4월","854.50","883.88","907.12","851.38","-","-3.32%"
"2019년 3월","883.88","910.00","924.38","883.12","-","-2.87%"
"2019년 2월","910.00","915.75","934.38","893.12","-","-0.63%"
"2019년 1월","915.75","894.00","927.62","891.12","-","2.43%"
"2018년 12월","894.00","919.25","928.00","867.00","-","0.08%"
"2018년 11월","893.25","850.25","900.75","845.75","-","4.90%"
"2018년 10월","851.50","845.00","892.00","840.00","-","0.86%"
"2018년 9월","844.25","845.50","859.25","812.25","-","-0.15%"
"2018년 8월","845.50","907.50","907.50","829.00","-","-6.83%"
"2018년 7월","907.50","865.25","911.50","810.75","-","5.19%"
"2018년 6월","862.75","1,020.00","1,026.50","842.50","-","-15.38%"
"2018년 5월","1,019.50","1,049.00","1,055.50","992.50","-","-2.77%"
"2018년 4월","1,048.50","1,046.00","1,067.50","983.50","-","0.36%"
"2018년 3월","1,044.75","1,055.00","1,082.50","1,009.25","-","-0.97%"
"2018년 2월","1,055.00","996.75","1,059.50","967.75","-","5.84%"
"2018년 1월","996.75","967.50","1,004.75","944.50","-","3.56%"
"2017년 12월","962.50","986.88","1,014.88","946.62","-","-2.35%"
"2017년 11월","985.62","984.75","1,007.62","967.12","-","0.10%"
"2017년 10월","984.62","967.38","1,003.12","952.62","-","1.83%"
"2017년 9월","966.88","947.62","986.88","938.62","-","2.14%"
"2017년 8월","946.62","988.50","992.62","917.38","-","-5.18%"
"2017년 7월","998.38","956.62","1,032.62","956.12","-","5.27%"
