"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2010년 4월","505.13","450.88","514.63","447.13","-","12.16%"
"2010년 3월","450.38","519.63","519.63","450.38","-","-13.24%"
"2010년 2월","519.13","475.00","519.88","466.63","-","9.72%"
"2010년 1월","473.13","540.75","574.50","473.13","-","-12.57%"
"2009년 12월","541.13","586.50","597.88","514.38","-","-7.74%"
"2009년 11월","586.50","493.63","600.38","493.63","-","18.66%"
"2009년 10월","494.25","452.00","496.50","439.25","295.08K","8.03%"
"2009년 9월","457.50","471.00","481.50","425.25","459.88K","-2.87%"
"2009년 8월","471.00","531.75","557.50","453.25","752.51K","-10.84%"
"2009년 7월","528.25","517.00","553.75","483.50","470.29K","3.33%"
"2009년 6월","511.25","636.75","677.00","495.75","1.12M","-19.77%"
"2009년 5월","637.25","524.75","646.25","524.50","438.46K","21.55%"
"2009년 4월","524.25","527.75","572.75","500.75","749.31K","-1.60%"
"2009년 3월","532.75","508.00","563.00","488.25","448.18K","4.36%"
"2009년 2월","510.50","568.00","577.00","504.50","706.28K","-10.12%"
"2009년 1월","568.00","606.25","646.25","548.25","656.02K","-7.00%"
"2008년 12월","610.75","541.75","616.00","455.00","326.22K","12.58%"
"2008년 11월","542.50","538.75","587.75","496.00","827.28K","1.17%"
"2008년 10월","536.25","683.25","690.25","496.50","807.11K","-21.14%"
"2008년 9월","680.00","770.00","770.00","662.50","531.82K","-12.74%"
"2008년 8월","779.25","784.50","932.25","746.00","864.44K","-0.57%"
"2008년 7월","783.75","843.00","877.50","775.00","476.86K","-7.08%"
