"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2005년 8월","182.40","213.00","218.00","181.10","158.35K","-14.12%"
"2005년 7월","212.40","207.00","232.80","205.00","156.76K","2.61%"
"2005년 6월","207.00","214.20","238.00","201.50","449.78K","-3.59%"
"2005년 5월","214.70","192.00","215.50","189.40","233.88K","10.39%"
"2005년 4월","194.50","187.40","204.70","181.30","277.29K","4.01%"
"2005년 3월","187.00","181.10","205.00","178.40","198.59K","2.19%"
"2005년 2월","183.00","154.00","184.50","148.10","298.46K","18.99%"
"2005년 1월","153.80","161.60","168.00","152.00","174.11K","-5.41%"
"2004년 12월","162.60","154.50","168.00","151.90","116.95K","5.45%"
"2004년 11월","154.20","153.50","163.20","146.60","274.02K","0.19%"
"2004년 10월","153.90","156.20","161.00","149.00","153.15K","-1.47%"
"2004년 9월","156.20","180.80","190.50","156.00","75.68K","-13.61%"
"2004년 8월","180.80","197.00","208.50","175.50","98.05K","-8.69%"
"2004년 7월","198.00","298.00","378.50","192.00","170.28K","-33.45%"
"2004년 6월","297.50","261.00","316.00","250.70","275.18K","16.76%"
"2004년 5월","254.80","319.00","338.50","253.00","223.51K","-19.90%"
"2004년 4월","318.10","314.40","342.00","290.10","230.02K","1.21%"
"2004년 3월","314.30","283.20","329.00","276.00","192.27K","12.29%"
"2004년 2월","279.90","252.70","283.70","241.50","209.83K","9.51%"
"2004년 1월","255.60","242.10","268.80","236.20","159.80K","5.66%"
"2003년 12월","241.90","229.00","247.00","220.50","124.62K","5.91%"
"2003년 11월","228.40","252.10","256.00","223.10","233.09K","-9.40%"
"2003년 10월","252.10","200.80","256.50","195.60","260.96K","26.18%"
"2003년 9월","199.80","199.00","217.00","184.60","119.57K","-0.65%"
"2003년 8월","201.10","169.50","201.30","163.30","117.63K","19.14%"
"2003년 7월","168.80","190.00","207.00","167.60","211.37K","-11.53%"
"2003년 6월","190.80","189.80","198.00","185.50","323.60K","0.32%"
"2003년 5월","190.20","193.80","201.80","188.00","224.84K","-2.21%"
"2003년 4월","194.50","172.00","196.50","170.80","256.24K","13.15%"
"2003년 3월","171.90","179.00","179.30","168.30","189.00K","-3.37%"
"2003년 2월","177.90","171.30","183.20","166.50","207.92K","3.67%"
"2003년 1월","171.60","167.50","175.00","157.10","193.95K","2.57%"
"2002년 12월","167.30","167.40","171.30","160.20","147.24K","0.72%"
"2002년 11월","166.10","169.70","174.00","161.30","291.16K","-2.12%"
"2002년 10월","169.70","170.50","173.20","161.80","216.50K","-0.35%"
"2002년 9월","170.30","182.70","192.80","170.10","122.49K","-6.22%"
"2002년 8월","181.60","185.80","204.00","174.20","127.13K","-0.38%"
"2002년 7월","182.30","181.40","193.00","171.00","181.57K","1.05%"
"2002년 6월","180.40","168.10","181.80","163.60","303.10K","6.94%"
"2002년 5월","168.70","161.90","169.60","158.00","226.59K","4.20%"
"2002년 4월","161.90","160.30","166.20","153.00","252.50K","1.00%"
"2002년 3월","160.30","153.20","164.00","152.50","145.77K","4.70%"
"2002년 2월","153.10","151.60","155.50","146.50","176.29K","0.92%"
"2002년 1월","151.70","147.00","168.00","145.40","200.67K","3.13%"
